attacker_atk,defender_def,damage_dealt
336.6,173.7,462.8
171.4,95.4,233.0
68.4,54.5,79.2
57.4,240.5,23.1
416.0,133.5,632.2
460.7,275.4,535.6
323.0,95.8,494.8
378.3,378.0,363.8
294.6,158.7,355.7
470.8,60.1,845.8
417.1,259.1,500.0
51.2,372.3,11.8
435.8,187.3,577.8
65.1,382.7,19.2
378.3,210.0,495.4
129.0,181.6,114.3
438.4,255.7,553.5
293.7,398.1,262.3
184.9,380.6,129.4
240.2,194.8,280.5
62.7,307.9,18.7
105.9,209.0,75.6
351.8,221.1,439.3
341.2,318.6,360.4
326.9,177.6,431.6
222.7,299.1,193.7
498.7,290.2,640.6
491.4,374.2,547.9
358.5,63.7,551.0
342.7,297.0,365.2
359.8,372.4,339.4
225.0,387.8,174.2
110.8,25.6,177.4
374.7,348.2,390.0
286.4,392.9,231.3
189.6,383.7,122.2
268.6,76.5,417.9
450.3,389.6,446.9
470.3,358.2,542.0
211.0,332.5,163.0
307.2,202.4,348.4
194.8,108.3,220.4
317.4,324.7,321.9
202.1,370.9,140.4
226.2,121.1,286.9
450.6,224.8,594.2
152.2,188.2,148.5
330.4,373.8,309.3
87.8,35.4,125.7
424.7,298.2,461.9
404.2,253.5,537.8
157.7,30.8,276.0
444.4,293.3,564.0
76.4,26.1,114.1
201.3,308.0,166.4
117.6,214.8,84.8
252.7,373.1,210.3
408.3,45.1,729.8
153.8,339.7,88.8
73.4,45.3,95.4
